TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
GUADALHORCE_1600_1630,54503,GUADALHORCE,MÁLAGA,16:00 - 16:30,5,6.0
GUADALHORCE_1630_1700,54503,GUADALHORCE,MÁLAGA,16:30 - 17:00,15,20.0
GUADALHORCE_1700_1730,54503,GUADALHORCE,MÁLAGA,17:00 - 17:30,13,6.0
GUADALHORCE_1730_1800,54503,GUADALHORCE,MÁLAGA,17:30 - 18:00,8,7.0
GUADALHORCE_1800_1830,54503,GUADALHORCE,MÁLAGA,18:00 - 18:30,19,12.0
GUADALHORCE_1830_1900,54503,GUADALHORCE,MÁLAGA,18:30 - 19:00,24,9.0
GUADALHORCE_1900_1930,54503,GUADALHORCE,MÁLAGA,19:00 - 19:30,15,3.0
GUADALHORCE_1930_2000,54503,GUADALHORCE,MÁLAGA,19:30 - 20:00,24,6.0
GUADALHORCE_2000_2030,54503,GUADALHORCE,MÁLAGA,20:00 - 20:30,48,0.0
GUADALHORCE_2030_2100,54503,GUADALHORCE,MÁLAGA,20:30 - 21:00,6,7.0
GUADALHORCE_2100_2130,54503,GUADALHORCE,MÁLAGA,21:00 - 21:30,1,8.0
GUADALHORCE_2130_2200,54503,GUADALHORCE,MÁLAGA,21:30 - 22:00,1,3.0
